,bt_Close,bt_Volume,bt_close_off_high,bt_volatility,eth_Close,eth_Volume,eth_close_off_high,eth_volatility
10,0.0,0.0,-0.181894807822,0.105401563611,0.0,0.0,-0.393223574326,0.0796238244514
9,0.0241061997601,-0.221925468388,-0.44318363433,0.0559915524971,0.0491863870277,-0.169948226631,-0.626596543952,0.0756429078854
8,0.0550423402617,-0.14321889557,-0.100884955752,0.0492361855463,0.180861851645,0.485016681916,-0.838893074868,0.131311950206
7,0.0111892869291,-0.270755781741,0.66341183228,0.0592403555782,0.120539818228,0.0269204934641,0.696872860078,0.0702815432742
6,-0.0953416760657,-0.113720219162,0.889693154996,0.112410231011,0.015125524797,0.135492538056,0.806461881267,0.106120105056
5,-0.08506543495,-0.17494408077,-0.468701380383,0.0597712748066,0.0598386989774,0.0386627931083,-0.780161427358,0.0879104463677
4,-0.17910557316,0.0218751923827,0.51472381004,0.144229435496,-0.0174189940957,0.454430866105,0.411204894352,0.157704780368
3,-0.209521635605,0.305832016581,-0.537030294474,0.14720507357,-0.132101936181,0.855684152042,-0.13611001116,0.268196607355
2,-0.178714395689,-0.254705423652,-0.566049257073,0.133201990032,-0.086384184539,-0.10343893479,-0.612894280763,0.156928231851
1,-0.259089281558,-0.274224826086,0.62292026234,0.142076353848,-0.208961589128,-0.171545931243,0.638714398975,0.169975224688
